,experience_level,work_year,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,EN,2020,FT,Data Analyst,72000,USD,72000,US,100,US,L
1,EN,2020,FT,Data Scientist,45000,EUR,51321,FR,0,FR,S
2,EN,2020,FT,Data Scientist,35000,EUR,39916,FR,0,FR,M
3,EN,2020,FT,Data Engineer,4450000,JPY,41689,JP,100,JP,S
4,EN,2020,FT,Data Science Consultant,423000,INR,5707,IN,50,IN,M
5,EN,2020,FT,Research Scientist,42000,USD,42000,NL,50,NL,L
6,EN,2020,CT,Business Data Analyst,100000,USD,100000,US,100,US,L
7,EN,2020,FT,Big Data Engineer,70000,USD,70000,US,100,US,L
8,EN,2020,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L
9,EN,2020,FT,Data Analyst,10000,USD,10000,NG,100,NG,S
10,EN,2020,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S
11,EN,2020,PT,ML Engineer,14000,EUR,15966,DE,100,DE,S
12,EN,2020,FT,Data Analyst,450000,INR,6072,IN,0,IN,S
13,EN,2020,FT,Data Analyst,91000,USD,91000,US,100,US,L
14,EN,2020,FT,AI Scientist,300000,DKK,45896,DK,50,DK,S
15,EN,2020,FT,Data Engineer,48000,EUR,54742,PK,100,DE,L
16,EN,2020,PT,Data Scientist,19000,EUR,21669,IT,50,IT,S
17,EN,2020,FT,Data Scientist,55000,EUR,62726,DE,50,DE,S
18,EN,2020,FT,Data Scientist,43200,EUR,49268,DE,0,DE,S
19,EN,2020,FT,Data Scientist,105000,USD,105000,US,100,US,S
20,EN,2021,FT,Research Scientist,60000,GBP,82528,GB,50,GB,L
21,EN,2021,FT,Data Analyst,80000,USD,80000,US,100,US,M
22,EN,2021,FT,Data Analyst,50000,EUR,59102,FR,50,FR,M
23,EN,2021,FT,Data Science Consultant,65000,EUR,76833,DE,100,DE,S
24,EN,2021,FT,Data Scientist,2200000,INR,29751,IN,50,IN,L
25,EN,2021,PT,AI Scientist,12000,USD,12000,BR,100,US,S
26,EN,2021,FT,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M
27,EN,2021,FT,Data Engineer,2250000,INR,30428,IN,100,IN,L
28,EN,2021,PT,AI Scientist,12000,USD,12000,PK,100,US,M
29,EN,2021,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L
30,EN,2021,FT,Data Analyst,90000,USD,90000,US,100,US,S
31,EN,2021,FT,Data Analyst,50000,USD,50000,US,100,US,M
32,EN,2021,FT,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L
33,EN,2021,PT,Data Analyst,8760,EUR,10354,ES,50,ES,M
34,EN,2021,FT,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S
35,EN,2021,FT,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,S
36,EN,2021,FT,Data Scientist,42000,EUR,49646,FR,50,FR,M
37,EN,2021,FT,Data Scientist,100000,USD,100000,US,0,US,S
38,EN,2021,FT,Data Scientist,80000,USD,80000,US,100,US,M
39,EN,2021,FT,Data Scientist,13400,USD,13400,UA,100,UA,L
40,EN,2021,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S
41,EN,2021,FT,Data Science Consultant,54000,EUR,63831,DE,50,DE,L
42,EN,2021,FT,Data Engineer,80000,USD,80000,US,100,US,L
